,P@K,Singular,Plural,Paired Accuracy,Paired Consistency,mask_type,data_dir
0,1,28.999999999999996,0.2,0.2,71.2,def_dap,data/hypernymsuite/LEDS/consistency/
1,10,66.3,2.1,2.0,35.6,def_dap,data/hypernymsuite/LEDS/consistency/
