	mask_type	p@1	p@5	p@10	relation	mrr	anchor_wordnet_avg_path	anchor_wordnet_coverage	label
0	subj_anchors_swow_sg	28.799999999999997	62.5	62.5	IsA	0.0	7.53	0.879	sub_sister
1	anchor_col_all	28.799999999999997	62.5	72.2	IsA	0.0	7.53	0.879	sub_sister
0	sentence	11.1	28.799999999999997	37.0	IsA	19.5	7.53	0.879	obj_label
1	def_sap	16.400000000000002	32.7	42.4	IsA	23.599999999999998	7.53	0.879	obj_label
2	lsp_sap	16.2	36.199999999999996	49.0	IsA	24.8	7.53	0.879	obj_label
3	def_dap	17.4	37.1	46.300000000000004	IsA	25.7	7.53	0.879	obj_label
4	lsp_dap	17.1	37.0	51.1	IsA	26.200000000000003	7.53	0.879	obj_label
