	mask_type	p@1	p@5	p@10	relation	mrr	anchor_wordnet_avg_path	anchor_wordnet_coverage	label
0	subj_anchors_sg	41.8	56.699999999999996	56.699999999999996	IsA	0.0	6.56	0.907	sub_sister
1	subj_anchors_all	41.8	56.699999999999996	69.69999999999999	IsA	0.0	6.56	0.907	sub_sister
0	sentence	11.1	28.799999999999997	37.0	IsA	19.5	6.56	0.907	obj_label
1	def_sap	16.400000000000002	32.7	42.4	IsA	23.599999999999998	6.56	0.907	obj_label
2	lsp_sap	16.2	36.199999999999996	49.0	IsA	24.8	6.56	0.907	obj_label
3	def_dap	17.2	35.8	46.6	IsA	25.6	6.56	0.907	obj_label
4	lsp_dap	16.7	35.3	49.5	IsA	25.4	6.56	0.907	obj_label
