	mask_type	p@1	p@5	p@10	relation	mrr	anchor_wordnet_avg_path	anchor_wordnet_coverage	label
0	subj_anchors_sg	50.0	70.0	70.0	IsA	0.0	7.81	0.99	sub_sister
1	subj_anchors_all	50.0	70.0	70.0	IsA	0.0	7.81	0.99	sub_sister
0	sentence	20.0	60.0	70.0	IsA	37.3	7.81	0.99	obj_label
1	def_sap	30.0	50.0	60.0	IsA	41.4	7.81	0.99	obj_label
2	lsp_sap	30.0	50.0	70.0	IsA	42.5	7.81	0.99	obj_label
3	def_dap	30.0	60.0	80.0	IsA	45.6	7.81	0.99	obj_label
4	lsp_dap	30.0	50.0	70.0	IsA	42.699999999999996	7.81	0.99	obj_label
