,K,Singular,Plural,Paired Singular-Plural,mask_type,data_dir
0,1,0.0,2.0,0.0,lsp_dap,data/hypernymsuite/ALL/AddSWOWStrength/consistency_rw_group/
1,10,4.6,23.9,4.3,lsp_dap,data/hypernymsuite/ALL/AddSWOWStrength/consistency_rw_group/
