	mask_type	p@1	p@5	p@10	relation	mrr	label
0	subj_anchors_wordnet_sg	45.6	88.9	88.9	IsA	62.9	sub_sister
1	subj_anchors_wordnet_all	45.6	88.9	88.9	IsA	62.9	sub_sister
0	sentence	6.0	16.2	20.4	IsA	10.100000000000001	obj_label
1	def_sap	12.8	36.7	47.099999999999994	IsA	22.8	obj_label
2	lsp_sap	12.6	33.300000000000004	44.9	IsA	21.6	obj_label
3	def_dap	14.7	37.7	47.599999999999994	IsA	24.3	obj_label
4	lsp_dap	14.7	36.7	47.599999999999994	IsA	24.2	obj_label
