	mask_type	p@1	p@5	p@10	relation	mrr	anchor_wordnet_avg_path	anchor_wordnet_coverage	label
0	subj_anchors_sg	45.4	66.8	66.8	IsA	53.7	6.81	0.905	sub_sister
1	subj_anchors_all	45.4	66.8	70.6	IsA	54.2	6.81	0.905	sub_sister
0	sentence	6.5	16.5	20.8	IsA	10.6	6.81	0.905	obj_label
1	def_sap	13.3	36.7	46.800000000000004	IsA	23.200000000000003	6.81	0.905	obj_label
2	lsp_sap	12.3	33.1	44.4	IsA	21.2	6.81	0.905	obj_label
3	def_dap	15.2	37.8	50.0	IsA	25.1	6.81	0.905	obj_label
4	lsp_dap	13.4	34.0	45.2	IsA	22.400000000000002	6.81	0.905	obj_label
