	mask_type	p@1	p@5	p@10	relation	mrr	anchor_wordnet_avg_path	anchor_wordnet_coverage	label
0	subj_anchors_sg	66.8	91.2	91.2	IsA	76.2	6.64	0.882	sub_sister
1	anchor_col_all	66.8	91.2	95.39999999999999	IsA	76.8	6.64	0.882	sub_sister
0	sentence	11.600000000000001	28.9	37.9	IsA	19.900000000000002	6.64	0.882	obj_label
1	def_sap	16.6	32.4	42.199999999999996	IsA	23.599999999999998	6.64	0.882	obj_label
2	lsp_sap	17.599999999999998	39.5	54.50000000000001	IsA	27.400000000000002	6.64	0.882	obj_label
3	def_dap	17.599999999999998	35.9	46.800000000000004	IsA	25.900000000000002	6.64	0.882	obj_label
4	lsp_dap	17.5	39.0	53.7	IsA	27.0	6.64	0.882	obj_label
