,P@K,Singular,Plural,Paired Accuracy,Paired Consistency,mask_type,data_dir
0,1,11.899999999999999,18.8,9.8,89.0,lsp_sap,data/hypernymsuite/LEDS/consistency/
1,10,44.6,56.39999999999999,40.6,80.30000000000001,lsp_sap,data/hypernymsuite/LEDS/consistency/
