,P@K,Singular,Plural,Paired Accuracy,Paired Consistency,mask_type,data_dir
0,1,24.0,0.0,0.0,76.0,def_sap,data/hypernymsuite/LEDS/consistency/
1,10,59.0,0.6,0.6,41.5,def_sap,data/hypernymsuite/LEDS/consistency/
