,K,Singular,Plural,Paired Singular-Plural,mask_type,data_dir
0,1,0.0,1.7999999999999998,0.0,lsp_dap,data/hypernymsuite/ALL/AddSWOWSimilar/consistency_rw_group/
1,10,4.9,25.0,4.6,lsp_dap,data/hypernymsuite/ALL/AddSWOWSimilar/consistency_rw_group/
