,P@K,Singular,Plural,Paired Accuracy,Paired Consistency,mask_type,data_dir
0,1,20.3,0.0,0.0,79.7,def_dap,data/hypernymsuite/ALL/AddSWOWStrength/consistency_rw/
1,10,54.300000000000004,0.1,0.0,45.5,def_dap,data/hypernymsuite/ALL/AddSWOWStrength/consistency_rw/
