,P@K,Singular,Plural,Paired Accuracy,Paired Consistency,mask_type,data_dir
0,1,23.5,0.0,0.0,76.5,def_dap,data/hypernymsuite/BLESS/consistency/
1,10,50.4,0.0,0.0,49.6,def_dap,data/hypernymsuite/BLESS/consistency/
