,K,Singular,Plural,Paired Singular-Plural,mask_type,data_dir
0,1,7.7,2.0,1.5,def_dap,data/hypernymsuite/ALL/ShareSWOWStrength/consistency_rw_group/
1,10,34.0,11.3,10.9,def_dap,data/hypernymsuite/ALL/ShareSWOWStrength/consistency_rw_group/
