	mask_type	p@1	p@5	p@10	relation	mrr	anchor_wordnet_avg_path	anchor_wordnet_coverage	label
0	subj_anchors_sg	54.50000000000001	72.39999999999999	72.5	IsA	62.8	4.83	0.987	sub_sister
1	anchor_col_all	54.50000000000001	72.39999999999999	72.5	IsA	62.8	4.83	0.987	sub_sister
0	sentence	12.6	34.599999999999994	44.2	IsA	22.7	4.83	0.987	obj_label
1	def_sap	20.0	44.6	54.800000000000004	IsA	30.4	4.83	0.987	obj_label
2	lsp_sap	15.2	41.699999999999996	53.400000000000006	IsA	26.0	4.83	0.987	obj_label
3	sentence_dap	11.899999999999999	33.800000000000004	44.800000000000004	IsA	22.3	4.83	0.987	obj_label
4	def_dap	18.6	40.6	52.300000000000004	IsA	27.900000000000002	4.83	0.987	obj_label
5	lsp_dap	14.6	40.300000000000004	52.1	IsA	25.4	4.83	0.987	obj_label
