	mask_type	p@1	p@5	p@10	relation	mrr	anchor_wordnet_avg_path	anchor_wordnet_coverage	label
0	subj_anchors_sg	57.9	73.4	73.4	IsA	65.2	4.9	0.979	sub_sister
1	anchor_col_all	57.9	73.4	73.5	IsA	65.2	4.9	0.979	sub_sister
0	sentence	12.9	37.9	48.699999999999996	IsA	24.2	4.9	0.979	obj_label
1	def_sap	20.599999999999998	49.0	60.099999999999994	IsA	32.6	4.9	0.979	obj_label
2	lsp_sap	22.1	49.4	60.5	IsA	33.4	4.9	0.979	obj_label
3	def_dap	26.400000000000002	56.3	67.60000000000001	IsA	38.7	4.9	0.979	obj_label
4	lsp_dap	24.7	53.800000000000004	64.9	IsA	37.2	4.9	0.979	obj_label
