	mask_type	p@1	p@5	p@10	relation	mrr	label
0	subj_anchors_wordnet_sg	47.699999999999996	76.7	76.7	IsA	58.5	sub_sister
1	subj_anchors_wordnet_all	47.699999999999996	76.7	76.7	IsA	58.5	sub_sister
0	sentence	13.100000000000001	39.4	49.8	IsA	24.7	obj_label
1	def_sap	20.9	49.7	60.6	IsA	33.1	obj_label
2	lsp_sap	20.3	47.699999999999996	58.4	IsA	31.7	obj_label
3	def_dap	25.1	54.7	66.4	IsA	37.8	obj_label
4	lsp_dap	24.099999999999998	53.6	66.0	IsA	36.8	obj_label
