,K,Singular,Plural,Paired Singular-Plural,mask_type,data_dir
0,1,0.2,8.6,0.2,lsp_dap,data/clsb/singular/consistency_group/
1,10,8.7,52.5,8.6,lsp_dap,data/clsb/singular/consistency_group/
