,K,Singular,Plural,Paired Singular-Plural,mask_type,data_dir
0,1,0.0,1.9,0.0,lsp_dap,data/hypernymsuite/ALL/ShareSWOWSimilar/consistency_rw_group/
1,10,4.3,23.9,4.1000000000000005,lsp_dap,data/hypernymsuite/ALL/ShareSWOWSimilar/consistency_rw_group/
