,K,Singular,Plural,Paired Singular-Plural,mask_type,data_dir
0,1,10.299999999999999,11.799999999999999,8.4,lsp_dap,data/hypernymsuite/BLESS/consistency_group/
1,10,24.6,30.3,23.7,lsp_dap,data/hypernymsuite/BLESS/consistency_group/
