,K,Singular,Plural,Paired Singular-Plural,mask_type,data_dir
0,1,7.8,0.2,0.2,def_sap,data/hypernymsuite/BLESS/consistency_group/
1,10,28.299999999999997,5.5,3.6999999999999997,def_sap,data/hypernymsuite/BLESS/consistency_group/
