,P@K,Singular,Plural,Paired Accuracy,Paired Consistency,mask_type,data_dir
0,1,12.9,13.200000000000001,9.4,92.60000000000001,lsp_dap,data/hypernymsuite/ALL/ShareSWOWStrength/consistency_rw/
1,10,48.0,48.8,42.3,87.8,lsp_dap,data/hypernymsuite/ALL/ShareSWOWStrength/consistency_rw/
