	mask_type	p@1	p@5	p@10	relation	mrr	label
0	subj_anchors_wordnet_sg	83.3	90.5	90.5	IsA	86.6	sub_sister
1	subj_anchors_wordnet_all	83.3	90.5	90.60000000000001	IsA	86.7	sub_sister
0	sentence	5.800000000000001	16.1	20.3	IsA	10.0	obj_label
1	def_sap	12.6	36.5	46.9	IsA	22.7	obj_label
2	lsp_sap	12.6	33.2	44.9	IsA	21.5	obj_label
3	def_dap	14.000000000000002	37.5	48.3	IsA	24.2	obj_label
4	lsp_dap	15.2	36.9	48.0	IsA	24.6	obj_label
