	mask_type	p@1	p@5	p@10	relation	mrr	label
0	subj_anchors_wordnet_sg	100.0	100.0	100.0	IsA	100.0	sub_sister
1	subj_anchors_wordnet_all	100.0	100.0	100.0	IsA	100.0	sub_sister
0	sentence	10.0	10.0	10.0	IsA	10.0	obj_label
1	def_sap	10.0	20.0	30.0	IsA	16.0	obj_label
2	lsp_sap	10.0	20.0	30.0	IsA	13.900000000000002	obj_label
3	def_dap	10.0	20.0	20.0	IsA	15.0	obj_label
4	lsp_dap	20.0	20.0	20.0	IsA	20.0	obj_label
