	mask_type	p@1	p@5	p@10	relation	mrr	label
0	subj_anchors_wordnet_sg	59.5	66.5	66.5	IsA	62.1	sub_sister
1	subj_anchors_wordnet_all	59.5	66.5	68.5	IsA	62.4	sub_sister
0	sentence	6.4	16.400000000000002	20.7	IsA	10.5	obj_label
1	def_sap	13.200000000000001	36.6	46.6	IsA	23.0	obj_label
2	lsp_sap	12.2	33.0	44.3	IsA	21.099999999999998	obj_label
3	def_dap	14.499999999999998	37.4	49.4	IsA	24.5	obj_label
4	lsp_dap	13.4	33.4	45.6	IsA	22.3	obj_label
