	mask_type	p@1	p@5	p@10	relation	mrr	anchor_wordnet_avg_path	anchor_wordnet_coverage	label
0	subj_anchors_swow_sg	28.7	58.699999999999996	58.699999999999996	IsA	40.300000000000004	8.24	0.869	sub_sister
1	subj_anchors_swow_all	28.7	58.699999999999996	64.4	IsA	41.3	8.24	0.869	sub_sister
0	sentence	6.4	16.400000000000002	20.7	IsA	10.5	8.24	0.869	obj_label
1	def_sap	13.200000000000001	36.6	46.6	IsA	23.0	8.24	0.869	obj_label
2	lsp_sap	12.2	33.0	44.3	IsA	21.099999999999998	8.24	0.869	obj_label
3	def_dap	14.099999999999998	37.7	49.5	IsA	24.099999999999998	8.24	0.869	obj_label
4	lsp_dap	13.4	33.4	45.9	IsA	22.2	8.24	0.869	obj_label
