,P@K,Singular,Plural,Paired Accuracy,Paired Consistency,mask_type,data_dir
0,1,2.9000000000000004,3.5999999999999996,1.9,97.3,lsp_dap,data/hypernymsuite/SHWARTZ/consistency/
1,10,12.9,14.499999999999998,9.5,91.7,lsp_dap,data/hypernymsuite/SHWARTZ/consistency/
