,P@K,Singular,Plural,Paired Accuracy,Paired Consistency,mask_type,data_dir
0,1,3.9,0.0,0.0,96.1,def_dap,data/hypernymsuite/SHWARTZ/consistency/
1,10,17.4,0.2,0.1,82.6,def_dap,data/hypernymsuite/SHWARTZ/consistency/
