,K,Singular,Plural,Paired Singular-Plural,mask_type,data_dir
0,1,0.0,3.5000000000000004,0.0,lsp_dap,data/hypernymsuite/LEDS/consistency_group/
1,10,5.6000000000000005,35.9,5.5,lsp_dap,data/hypernymsuite/LEDS/consistency_group/
