,P@K,Singular,Plural,Paired Accuracy,Paired Consistency,mask_type,data_dir
0,1,27.6,0.8999999999999999,0.5,72.6,def_sap,data/lm_diagnostic_extended/singular/consistency/
1,10,63.7,4.9,4.5,40.5,def_sap,data/lm_diagnostic_extended/singular/consistency/
