,P@K,Singular,Plural,Paired Accuracy,Paired Consistency,mask_type,data_dir
0,1,39.800000000000004,39.900000000000006,34.9,90.10000000000001,lsp_dap,data/lm_diagnostic_extended/singular/consistency/
1,10,72.0,62.8,62.0,89.1,lsp_dap,data/lm_diagnostic_extended/singular/consistency/
