	mask_type	p@1	p@5	p@10	relation	mrr	anchor_wordnet_avg_path	anchor_wordnet_coverage	label
0	subj_anchors_sg	9.0	16.8	16.8	IsA	11.799999999999999	10.24	0.865	sub_sister
1	anchor_col_all	9.0	16.8	19.8	IsA	12.2	10.24	0.865	sub_sister
0	sentence	25.900000000000002	47.0	54.2	IsA	35.8	10.24	0.865	obj_label
1	def_sap	13.4	41.0	50.9	IsA	24.5	10.24	0.865	obj_label
2	lsp_sap	27.1	44.1	53.6	IsA	34.8	10.24	0.865	obj_label
3	sentence_dap	24.5	42.9	51.0	IsA	32.9	10.24	0.865	obj_label
4	def_dap	16.1	40.1	53.800000000000004	IsA	27.3	10.24	0.865	obj_label
5	lsp_dap	25.3	41.099999999999994	49.0	IsA	32.300000000000004	10.24	0.865	obj_label
6	def_sap_uniform	13.4	41.0	50.9	IsA	24.5	10.24	0.865	obj_label
7	lsp_sap_uniform	30.2	51.2	63.9	IsA	39.7	10.24	0.865	obj_label
8	def_dap_uniform	16.1	40.1	53.800000000000004	IsA	27.3	10.24	0.865	obj_label
9	lsp_dap_uniform	28.1	48.1	58.199999999999996	IsA	36.7	10.24	0.865	obj_label
