	mask_type	p@1	p@5	p@10	relation	mrr	anchor_wordnet_avg_path	anchor_wordnet_coverage	label
0	subj_anchors_sg	22.900000000000002	22.900000000000002	22.900000000000002	IsA	22.900000000000002	7.08	0.983	sub_sister
1	anchor_col_all	22.900000000000002	32.300000000000004	32.300000000000004	IsA	27.3	7.08	0.983	sub_sister
0	sentence	25.900000000000002	47.0	54.2	IsA	35.8	7.08	0.983	obj_label
1	def_sap	13.4	41.0	50.9	IsA	24.5	7.08	0.983	obj_label
2	lsp_sap	27.1	44.1	53.6	IsA	34.8	7.08	0.983	obj_label
3	sentence_dap	31.4	49.5	58.199999999999996	IsA	39.900000000000006	7.08	0.983	obj_label
4	def_dap	20.0	52.1	63.2	IsA	33.300000000000004	7.08	0.983	obj_label
5	lsp_dap	34.5	50.3	56.39999999999999	IsA	40.9	7.08	0.983	obj_label
6	def_sap_uniform	13.4	41.0	50.9	IsA	24.5	7.08	0.983	obj_label
7	lsp_sap_uniform	30.2	51.2	63.9	IsA	39.7	7.08	0.983	obj_label
8	def_dap_uniform	20.0	52.1	63.2	IsA	33.300000000000004	7.08	0.983	obj_label
9	lsp_dap_uniform	37.5	56.89999999999999	66.8	IsA	45.6	7.08	0.983	obj_label
