,P@K,Singular,Plural,Paired Accuracy,Paired Consistency,mask_type,data_dir
0,1,30.7,0.0,0.0,69.3,def_dap,data/lm_diagnostic_extended/singular/consistency/
1,10,53.6,0.2,0.2,46.5,def_dap,data/lm_diagnostic_extended/singular/consistency/
