	mask_type	p@1	p@5	p@10	relation	mrr	mAP@1	recall@1	mAP@5	recall@5	mAP@10	recall@10	anchor_wordnet_avg_path	anchor_wordnet_coverage
0	sentence	60.0	80.0	80.0	IsA	66.7	60.0	50.0	66.7	60.0	66.7	60.0	8.68	1.0
1	def_sap	0.0	60.0	80.0	IsA	27.900000000000002	0.0	0.0	25.0	50.0	27.900000000000002	60.0	8.68	1.0
2	lsp_sap	40.0	40.0	60.0	IsA	42.0	40.0	30.0	40.0	30.0	42.0	40.0	8.68	1.0
3	sentence_dap	40.0	40.0	60.0	IsA	43.3	40.0	30.0	40.0	30.0	43.3	40.0	8.68	1.0
4	def_dap	40.0	40.0	40.0	IsA	40.0	40.0	30.0	40.0	30.0	40.0	30.0	8.68	1.0
5	lsp_dap	40.0	40.0	60.0	IsA	42.0	40.0	30.0	40.0	30.0	42.0	40.0	8.68	1.0
6	def_sap_uniform	0.0	60.0	80.0	IsA	27.900000000000002	0.0	0.0	25.0	50.0	27.900000000000002	60.0	8.68	1.0
7	lsp_sap_uniform	40.0	40.0	60.0	IsA	42.0	40.0	30.0	40.0	30.0	33.7	40.0	8.68	1.0
8	def_dap_uniform	40.0	40.0	40.0	IsA	40.0	40.0	30.0	40.0	30.0	40.0	30.0	8.68	1.0
9	lsp_dap_uniform	40.0	40.0	60.0	IsA	42.0	40.0	30.0	32.0	30.0	34.0	40.0	8.68	1.0
