,P@K,Singular,Plural,Paired Accuracy,Paired Consistency,mask_type,data_dir
0,1,11.5,0.0,0.0,88.5,def_dap,data/hypernymsuite/ALL/SWOWSimilar/consistency_rw/
1,10,31.6,0.1,0.0,68.30000000000001,def_dap,data/hypernymsuite/ALL/SWOWSimilar/consistency_rw/
