,P@K,Singular,Plural,Paired Accuracy,Paired Consistency,mask_type,data_dir
0,1,20.4,0.3,0.1,79.5,def_sap,data/hypernymsuite/BLESS/consistency/
1,10,44.800000000000004,4.7,2.7,55.800000000000004,def_sap,data/hypernymsuite/BLESS/consistency/
