	mask_type	p@1	p@5	p@10	relation	mrr	label
0	subj_anchors_wordnet_sg	52.400000000000006	78.2	78.2	IsA	62.3	sub_sister
1	subj_anchors_wordnet_all	52.400000000000006	78.2	78.2	IsA	62.3	sub_sister
0	sentence	2.7	9.3	12.8	IsA	5.800000000000001	obj_label
1	def_sap	5.0	11.5	14.799999999999999	IsA	7.8	obj_label
2	lsp_sap	4.6	13.0	18.5	IsA	8.4	obj_label
3	def_dap	6.1	12.6	15.8	IsA	8.9	obj_label
4	lsp_dap	5.5	14.000000000000002	18.8	IsA	9.2	obj_label
