	mask_type	p@1	p@5	p@10	relation	mrr	anchor_wordnet_avg_path	anchor_wordnet_coverage	label
0	subj_anchors_sg	7.7	16.7	16.7	IsA	11.0	7.9	0.388	sub_sister
1	anchor_col_all	7.7	16.7	21.3	IsA	11.600000000000001	7.9	0.388	sub_sister
0	sentence	2.4	8.0	11.4	IsA	5.1	7.9	0.388	obj_label
1	def_sap	3.8	9.700000000000001	12.8	IsA	6.3	7.9	0.388	obj_label
2	lsp_sap	3.4000000000000004	10.100000000000001	15.2	IsA	6.4	7.9	0.388	obj_label
3	def_dap	3.3000000000000003	9.0	13.600000000000001	IsA	5.8999999999999995	7.9	0.388	obj_label
4	lsp_dap	3.5000000000000004	10.299999999999999	14.899999999999999	IsA	6.5	7.9	0.388	obj_label
