,K,Singular,Plural,Paired Singular-Plural,mask_type,data_dir
0,1,22.6,0.2,0.2,def_dap,data/lm_diagnostic_extended/singular/consistency_group/
1,10,49.0,8.200000000000001,8.200000000000001,def_dap,data/lm_diagnostic_extended/singular/consistency_group/
