	mask_type	p@1	p@5	p@10	relation	mrr	anchor_wordnet_avg_path	anchor_wordnet_coverage	label
0	subj_anchors_swow_sg	36.6	62.6	62.6	IsA	46.800000000000004	7.89	0.852	sub_sister
1	subj_anchors_swow_all	36.6	62.6	68.89999999999999	IsA	47.599999999999994	7.89	0.852	sub_sister
0	sentence	6.4	16.400000000000002	20.7	IsA	10.5	7.89	0.852	obj_label
1	def_sap	13.200000000000001	36.6	46.800000000000004	IsA	23.0	7.89	0.852	obj_label
2	lsp_sap	12.2	32.9	44.2	IsA	21.099999999999998	7.89	0.852	obj_label
3	def_dap	14.000000000000002	39.1	49.6	IsA	24.4	7.89	0.852	obj_label
4	lsp_dap	13.700000000000001	34.2	46.1	IsA	22.5	7.89	0.852	obj_label
