	mask_type	p@1	p@5	p@10	relation	mrr	anchor_wordnet_avg_path	anchor_wordnet_coverage	label
0	subj_anchors_sg	65.2	81.39999999999999	81.39999999999999	IsA	72.5	4.4	0.999	sub_sister
1	anchor_col_all	65.2	81.39999999999999	81.39999999999999	IsA	72.5	4.4	0.999	sub_sister
0	sentence	11.0	28.799999999999997	37.1	IsA	19.400000000000002	4.4	0.999	obj_label
1	def_sap	16.400000000000002	32.7	42.4	IsA	23.599999999999998	4.4	0.999	obj_label
2	lsp_sap	17.2	39.300000000000004	53.900000000000006	IsA	27.1	4.4	0.999	obj_label
3	def_dap	18.0	36.8	47.4	IsA	26.1	4.4	0.999	obj_label
4	lsp_dap	17.8	38.0	53.900000000000006	IsA	27.3	4.4	0.999	obj_label
