	mask_type	p@1	p@5	p@10	relation	mrr	anchor_wordnet_avg_path	anchor_wordnet_coverage	label
0	subj_anchors_sg	60.099999999999994	80.60000000000001	80.60000000000001	IsA	68.89999999999999	4.21	0.999	sub_sister
1	anchor_col_all	60.099999999999994	80.60000000000001	80.60000000000001	IsA	68.89999999999999	4.21	0.999	sub_sister
0	sentence	8.7	20.1	26.1	IsA	14.299999999999999	4.21	0.999	obj_label
1	def_sap	11.899999999999999	23.7	29.5	IsA	17.0	4.21	0.999	obj_label
2	lsp_sap	11.1	27.0	37.5	IsA	17.599999999999998	4.21	0.999	obj_label
3	sentence_dap	9.700000000000001	20.1	26.0	IsA	14.7	4.21	0.999	obj_label
4	def_dap	11.799999999999999	20.3	26.3	IsA	15.6	4.21	0.999	obj_label
5	lsp_dap	11.899999999999999	23.7	33.1	IsA	17.2	4.21	0.999	obj_label
