,mask_type,p@1,p@10,relation,mrr,mAP@1,mAP@10
0,mask_incontext,0.225177304964539,0.601063829787234,Has,33.2,0.43439716312056736,0.46276066711160413
1,mask_sap,0.11524822695035461,0.28368794326241137,Has,17.5,0.225177304964539,0.28959265591579425
2,mask_dap,0.21453900709219859,0.6081560283687943,Has,32.7,0.4237588652482269,0.4694918229309058
3,mask_sap_dap,0.03900709219858156,0.5939716312056738,Has,18.7,0.12588652482269502,0.32393465414140415
4,mask_incontext_dap,0.05673758865248227,0.601063829787234,Has,17.8,0.15070921985815602,0.3072580718654678
5,mask_incontext,0.07635009310986965,0.35195530726256985,HasA,15.8,0.11173184357541899,0.2150380198634389
6,mask_sap,0.020484171322160148,0.0856610800744879,HasA,4.0,0.024208566108007448,0.05610534716679968
7,mask_dap,0.1713221601489758,0.5102420856610801,HasA,27.2,0.26256983240223464,0.36938577044722287
8,mask_sap_dap,0.00558659217877095,0.441340782122905,HasA,11.2,0.00931098696461825,0.17701403052427267
9,mask_incontext_dap,0.0260707635009311,0.47113594040968343,HasA,11.6,0.04655493482309125,0.18027807336466567
10,mask_incontext,0.07032590051457976,0.27101200686106347,Is,12.8,0.4219554030874786,0.5017070963128911
11,mask_sap,0.030874785591766724,0.1183533447684391,Is,5.4,0.14751286449399656,0.24007944448982171
12,mask_dap,0.05317324185248713,0.2469982847341338,Is,10.6,0.3910806174957118,0.48402904024197757
13,mask_sap_dap,0.0137221269296741,0.19382504288164665,Is,5.1,0.1097770154373928,0.2373159265612097
14,mask_incontext_dap,0.022298456260720412,0.2469982847341338,Is,7.2,0.17152658662092624,0.3442313716033391
15,mask_incontext,0.5098814229249012,0.766798418972332,IsA,59.9,0.6185770750988142,0.6516957227555048
16,mask_sap,0.3715415019762846,0.717391304347826,IsA,48.7,0.44861660079051385,0.5435682131877778
17,mask_dap,0.44466403162055335,0.6778656126482213,IsA,52.0,0.5711462450592886,0.6002884042286214
18,mask_sap_dap,0.16996047430830039,0.7351778656126482,IsA,26.8,0.21739130434782608,0.3104115298952252
19,mask_incontext_dap,0.16600790513833993,0.7608695652173914,IsA,29.8,0.22134387351778656,0.355109649810736
