	mask_type	p@1	p@5	p@10	relation	mrr	label
0	subj_anchors_wordnet_sg	31.7	49.7	49.7	IsA	39.2	sub_sister
1	subj_anchors_wordnet_all	31.7	49.7	52.5	IsA	39.5	sub_sister
0	sentence	34.0	60.099999999999994	69.5	IsA	45.800000000000004	obj_label
1	def_sap	27.400000000000002	56.8	67.5	IsA	39.800000000000004	obj_label
2	lsp_sap	26.1	52.5	63.9	IsA	37.5	obj_label
3	def_dap	29.799999999999997	58.8	70.39999999999999	IsA	42.199999999999996	obj_label
4	lsp_dap	27.800000000000004	56.99999999999999	67.30000000000001	IsA	40.0	obj_label
