,P@K,Singular,Plural,Paired Accuracy,Paired Consistency,mask_type,data_dir
0,1,3.0,3.8,1.7999999999999998,96.89999999999999,lsp_dap,data/hypernymsuite/SHWARTZ/consistency/
1,10,13.600000000000001,14.899999999999999,10.4,92.30000000000001,lsp_dap,data/hypernymsuite/SHWARTZ/consistency/
