,P@K,Singular,Plural,Paired Accuracy,Paired Consistency,mask_type,data_dir
0,1,5.0,0.0,0.0,95.0,def_dap,data/hypernymsuite/SHWARTZ/consistency/
1,10,20.599999999999998,0.0,0.0,79.4,def_dap,data/hypernymsuite/SHWARTZ/consistency/
