	mask_type	p@1	p@5	p@10	relation	mrr	mAP@1	recall@1	mAP@5	recall@5	mAP@10	recall@10	anchor_wordnet_avg_path	anchor_wordnet_coverage
0	sentence	15.6	42.199999999999996	51.9	IsA	26.900000000000002	15.6	8.7	25.7	22.3	26.900000000000002	27.200000000000003	4.29	0.971
1	def_sap	6.1	23.599999999999998	32.800000000000004	IsA	13.600000000000001	6.1	3.6999999999999997	12.4	12.9	13.600000000000001	17.599999999999998	4.29	0.971
2	lsp_sap	16.0	39.300000000000004	50.2	IsA	25.8	16.0	8.7	24.2	22.2	25.0	29.4	4.29	0.971
3	sentence_dap	17.0	39.300000000000004	48.0	IsA	26.1	17.0	9.2	24.9	20.5	25.8	25.1	4.29	0.971
4	def_dap	10.7	30.5	43.0	IsA	19.6	10.7	5.8999999999999995	17.9	16.0	19.6	22.3	4.29	0.971
5	lsp_dap	16.400000000000002	37.5	47.4	IsA	25.2	16.400000000000002	8.7	23.3	22.6	23.599999999999998	30.2	4.29	0.971
6	def_sap_uniform	6.1	23.5	32.7	IsA	13.600000000000001	6.1	3.6999999999999997	12.4	12.8	13.600000000000001	17.5	4.29	0.971
7	lsp_sap_uniform	15.9	39.300000000000004	50.1	IsA	25.7	15.9	8.7	23.1	20.7	23.5	26.200000000000003	4.29	0.971
8	def_dap_uniform	10.7	30.5	42.9	IsA	19.6	10.7	5.8999999999999995	17.9	16.0	19.6	22.2	4.29	0.971
9	lsp_dap_uniform	16.400000000000002	37.8	48.0	IsA	25.3	16.400000000000002	8.7	22.3	19.8	21.9	25.0	4.29	0.971
