,P@K,Singular,Plural,Paired Accuracy,Paried Consistency,mask_type,data_dir
0,1,24.5,33.0,21.5,85.6,lsp_sap,data/lm_diagnostic_extended/consistency/
1,10,53.0,66.3,47.0,74.8,lsp_sap,data/lm_diagnostic_extended/consistency/
