,P@K,Singular,Plural,Paired Accuracy,Paried Consistency,mask_type,data_dir
0,1,27.6,0.0,0.0,72.39999999999999,def_sap,data/lm_diagnostic_extended/consistency/
1,10,63.7,0.3,0.3,36.6,def_sap,data/lm_diagnostic_extended/consistency/
