,P@K,Singular,Plural,Paired Accuracy,Paried Consistency,mask_type,data_dir
0,1,37.3,0.2,0.2,62.8,def_dap,data/lm_diagnostic_extended/consistency/
1,10,69.39999999999999,2.1,2.1,32.6,def_dap,data/lm_diagnostic_extended/consistency/
