,mask_type,p@1,p@10,p@1816,relation,mrr,mAP@1,mAP@10,mAP@1816
0,mask_incontext,0.08865248226950355,0.08404255319148968,0.0023735042334489254,Has,0.0,0.08865248226950355,0.17996666150699825,0.11813297565572241
1,mask_sap,0.1400709219858156,0.10673758865248258,0.0023735042334489254,Has,0.0,0.1400709219858156,0.21432180180977028,0.140207398475479
2,mask_dap,0.1347517730496454,0.10904255319148967,0.0023666697909832156,Has,0.0,0.1347517730496454,0.25174125905287226,0.15876736013387166
3,mask_sap_dap,0.0851063829787234,0.10691489361702161,0.0023735042334489254,Has,0.0,0.0851063829787234,0.22416107311719008,0.14675539854764616
4,mask_incontext_dap,0.0851063829787234,0.1067375886524826,0.0023735042334489254,Has,0.0,0.0851063829787234,0.22407910475064724,0.1464283418985608
