,P@K,Singular,Plural,Paired Accuracy,Paired Consistency,mask_type,data_dir
0,1,12.9,13.8,9.8,92.9,lsp_dap,data/hypernymsuite/ALL/ShareSWOWSimilar/consistency_rw/
1,10,49.1,49.2,43.4,88.3,lsp_dap,data/hypernymsuite/ALL/ShareSWOWSimilar/consistency_rw/
