,P@K,Singular,Plural,Paired Accuracy,Paired Consistency,mask_type,data_dir
0,1,25.2,27.900000000000002,20.599999999999998,88.0,lsp_sap,data/clsb/singular/consistency/
1,10,64.8,68.7,60.9,88.3,lsp_sap,data/clsb/singular/consistency/
