,P@K,Singular,Plural,Paired Accuracy,Paired Consistency,mask_type,data_dir
0,1,38.0,0.0,0.0,62.0,def_dap,data/clsb/singular/consistency/
1,10,75.5,0.0,0.0,24.5,def_dap,data/clsb/singular/consistency/
