,mask_type,p@1,p@10,relation,mrr,mAP@1,mAP@10
0,mask_incontext,0.030141843971631204,0.020390070921985786,Has,0.0,0.030141843971631204,0.05984077732747944
1,mask_sap,0.225177304964539,0.08191489361702146,Has,0.0,0.225177304964539,0.28959265591579425
2,mask_dap,0.17553191489361702,0.08634751773049684,Has,0.0,0.17553191489361702,0.26062954988930154
3,mask_sap_dap,0.19858156028368795,0.12464539007092221,Has,0.0,0.19858156028368795,0.30725621740027753
4,mask_incontext_dap,0.005319148936170213,0.05514184397163137,Has,0.0,0.005319148936170213,0.0796340270741868
