,P@K,Singular,Plural,Paired Accuracy,Paired Consistency,mask_type,data_dir
0,1,6.9,7.7,5.4,96.2,lsp_dap,data/hypernymsuite/ALL/SWOWStrength/consistency_rw/
1,10,26.200000000000003,27.0,22.8,92.30000000000001,lsp_dap,data/hypernymsuite/ALL/SWOWStrength/consistency_rw/
