,P@K,Singular,Plural,Paired Accuracy,Paired Consistency,mask_type,data_dir
0,1,11.3,0.0,0.0,88.7,def_dap,data/hypernymsuite/ALL/SWOWStrength/consistency_rw/
1,10,31.3,0.1,0.0,68.60000000000001,def_dap,data/hypernymsuite/ALL/SWOWStrength/consistency_rw/
