,P@K,Singular,Plural,Paired Accuracy,Paired Consistency,mask_type,data_dir
0,1,9.9,0.0,0.0,90.10000000000001,def_sap,data/hypernymsuite/ALL/SWOWStrength/consistency_rw/
1,10,28.499999999999996,0.3,0.1,71.5,def_sap,data/hypernymsuite/ALL/SWOWStrength/consistency_rw/
