,K,Singular,Plural,Paired Singular-Plural,mask_type,data_dir
0,1,22.0,25.3,19.6,lsp_dap,data/lm_diagnostic_extended/consistency_group/
1,10,47.9,57.49999999999999,46.0,lsp_dap,data/lm_diagnostic_extended/consistency_group/
2,50,65.5,75.5,62.8,lsp_dap,data/lm_diagnostic_extended/consistency_group/
