,K,Singular,Plural,Paired Singular-Plural,mask_type,data_dir
0,1,5.8999999999999995,14.6,5.2,lsp_sap,data/lm_diagnostic_extended/consistency_group/
1,10,23.400000000000002,43.2,20.8,lsp_sap,data/lm_diagnostic_extended/consistency_group/
2,50,37.5,64.4,33.7,lsp_sap,data/lm_diagnostic_extended/consistency_group/
