,P@K,Singular,Plural,Paired Accuracy,Paried Consistency,mask_type,data_dir
0,1,21.099999999999998,23.9,17.2,89.4,lsp_sap,data/clsb/consistency/
1,10,56.00000000000001,59.8,52.800000000000004,89.8,lsp_sap,data/clsb/consistency/
