,P@K,Singular,Plural,Paired Accuracy,Paried Consistency,mask_type,data_dir
0,1,28.000000000000004,0.2,0.1,71.89999999999999,def_sap,data/clsb/consistency/
1,10,57.3,3.3000000000000003,2.9000000000000004,45.300000000000004,def_sap,data/clsb/consistency/
