,P@K,Singular,Plural,Paired Accuracy,Paried Consistency,mask_type,data_dir
0,1,31.5,0.0,0.0,68.5,def_dap,data/clsb/consistency/
1,10,58.9,0.5,0.5,41.5,def_dap,data/clsb/consistency/
